,count,unique,top,freq,mean,std,min,25%,50%,75%,max
User_ID,50000,50000,U49984,1,,,,,,,
Age,50000.0,,,,39.03496,12.414877380868795,18.0,28.0,39.0,50.0,60.0
Gender,50000,3,Male,16708,,,,,,,
Occupation,50000,4,Professional,12629,,,,,,,
Device_Type,50000,2,Android,25080,,,,,,,
Daily_Phone_Hours,50000.0,,,,6.509115999999999,3.170902898394686,1.0,3.8,6.5,9.2,12.0
Social_Media_Hours,50000.0,,,,4.26725,2.1647429777558336,0.5,2.4,4.3,6.1,8.0
Work_Productivity_Score,50000.0,,,,5.50376,2.8748062808862533,1.0,3.0,5.5,8.0,10.0
Sleep_Hours,50000.0,,,,6.497743999999999,1.4495507353696484,4.0,5.2,6.5,7.8,9.0
Stress_Level,50000.0,,,,5.5045,2.871094671670071,1.0,3.0,6.0,8.0,10.0
App_Usage_Count,50000.0,,,,32.43898,16.121509688025263,5.0,18.0,32.0,46.0,60.0
Caffeine_Intake_Cups,50000.0,,,,3.00458,1.9966568950060315,0.0,1.0,3.0,5.0,6.0
Weekend_Screen_Time_Hours,50000.0,,,,8.006844,3.4613003873792048,2.0,5.0,8.0,11.0,14.0
Age_Group,50000,4,36-50,17523,,,,,,,
